Headline,Industry,College-Name-1,Degree-Name-1,Field-Of-Study-1,Activities-and-Societies-1,Activities-and-Societies--1,Job-Title-1,Company-Name-1,Dates-Employed-1,Employment-Duration-1,Location-1,College-Name-2,Degree-Name-2,Field-Of-Study-2,Activities-and-Societies-2,Activities-and-Societies--2,Job-Title-2,Company-Name-2,Dates-Employed-2,Employment-Duration-2,Location-2,College-Name-3,Degree-Name-3,Field-Of-Study-3,Activities-and-Societies-3,Activities-and-Societies--3,Job-Title-3,Company-Name-3,Dates-Employed-3,Employment-Duration-3,Location-3,College-Name-4,Degree-Name-4,Field-Of-Study-4,Activities-and-Societies-4,Activities-and-Societies--4,Job-Title-4,Company-Name-4,Dates-Employed-4,Employment-Duration-4,Location-4,College-Name-5,Degree-Name-5,Field-Of-Study-5,Activities-and-Societies-5,Activities-and-Societies--5,Job-Title-5,Company-Name-5,Dates-Employed-5,Employment-Duration-5,Location-5,College-Name-6,Degree-Name-6,Field-Of-Study-6,Activities-and-Societies-6,Activities-and-Societies--6,Job-Title-6,Company-Name-6,Dates-Employed-6,Employment-Duration-6,Location-6,College-Name-7,Degree-Name-7,Field-Of-Study-7,Activities-and-Societies-7,Activities-and-Societies--7,Job-Title-7,Company-Name-7,Dates-Employed-7,Employment-Duration-7,Location-7,College-Name-8,Degree-Name-8,Field-Of-Study-8,Activities-and-Societies-8,Activities-and-Societies--8,Job-Title-8,Company-Name-8,Dates-Employed-8,Employment-Duration-8,Location-8,College-Name-9,Degree-Name-9,Field-Of-Study-9,Activities-and-Societies-9,Activities-and-Societies--9,Job-Title-9,Company-Name-9,Dates-Employed-9,Employment-Duration-9,Location-9,College-Name-10,Degree-Name-10,Field-Of-Study-10,Activities-and-Societies-10,Activities-and-Societies--10,Job-Title-10,Company-Name-10,Dates-Employed-10,Employment-Duration-10,Location-10,College-Name-11,Degree-Name-11,Field-Of-Study-11,Activities-and-Societies-11,Activities-and-Societies--11,Job-Title-11,Company-Name-11,Dates-Employed-11,Employment-Duration-11,Location-11,College-Name-12,Degree-Name-12,Field-Of-Study-12,Activities-and-Societies-12,Activities-and-Societies--12,Job-Title-12,Company-Name-12,Dates-Employed-12,Employment-Duration-12,Location-12,College-Name-13,Degree-Name-13,Field-Of-Study-13,Activities-and-Societies-13,Activities-and-Societies--13,Job-Title-13,Company-Name-13,Dates-Employed-13,Employment-Duration-13,Location-13,skills
"President Nutritech Therapeutics at L-Nutra, Inc",Business,"Isenberg School of Management, UMass Amherst","MSBA, Accounting & Systems","MSBA, Accounting & Systems",,,President Nutritech Therapeutics,"L-Nutra, Inc · Full-time",Mar 2021 - Present,1 yr 2 mos,,"Isenberg School of Management, UMass Amherst","MSBA, Accounting & Systems","MSBA, Accounting & Systems",,,Board Member,T1D Exchange · Part-time,May 2020 - Present,2 yrs,,"Isenberg School of Management, UMass Amherst","MSBA, Accounting & Systems","MSBA, Accounting & Systems",,,Board Member,American Diabetes Association New England Chapter · Full-time,Jan 2017 - Present,5 yrs 4 mos,,,,,,,Board Member,Population Health Alliance · Full-time,Jan 2014 - Present,8 yrs 4 mos,,,,,,,Feb 2007 - Present · 15 yrs 3 mos,HealthCare Capital LLC,Medfield MA,15 yrs 3 mos,Managing Director,,,,,,Full-time,HealthCare Capital LLC,Dec 2015 - Present · 6 yrs 5 mos,6 yrs 5 mos,Managing Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy,Start-ups,Venture Capital,"
Consultant at Boston Consulting Group (BCG),Business,The University of Chicago Booth School of Business,Master of Business Administration - MBA,Master of Business Administration - MBA,,,Consultant,Boston Consulting Group (BCG) · Full-time,Jan 2021 - Present,1 yr 4 mos,,The University of Chicago Booth School of Business,Master of Business Administration - MBA,Master of Business Administration - MBA,, Oberlin Steel Drum Band- Event Coordinator,MBA,The University of Chicago Booth School of Business,Aug 2018 - Jun 2020,1 yr 11 mos,,The University of Chicago Booth School of Business,Master of Business Administration - MBA,Master of Business Administration - MBA,,,Summer Consultant,Boston Consulting Group (BCG),Jun 2019 - Aug 2019,3 mos,,,,,,,Hourly Trader/ System Operator - Distributed Assets,NRG Energy,Jun 2016 - Aug 2018,2 yrs 3 mos,,,,,,,Jan 2016 - Jun 2016 · 6 mos,Goldman Sachs,Greater New York City Area,1 yr 10 mos,Physical Commodities Operations Associate,,,,,,Sep 2014 - Jan 2016 · 1 yr 5 mos,Goldman Sachs,Greater New York City Area,1 yr 10 mos,Physical Commodities Operations Analyst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Economics,Microsoft Excel,Microsoft Office,"
Attorney at Friedman Vartolo LLP,Finance,University at Buffalo,"Juris Doctor, Law (Financial Transactions Concentration)","Juris Doctor, Law (Financial Transactions Concentration)",,,Attorney,Friedman Vartolo LLP,Jun 2019 - Present,2 yrs 11 mos,,,,,,,Litigation Attorney,RAS Boriskin,Jan 2019 - May 2019,5 mos,,,,,,,Attorney,Clair & Gjertsen Esq's,Nov 2015 - Dec 2018,3 yrs 2 mos,"White Plains, New York",,,,,,Associate Attorney,McCabe Weisberg & Conway,Jan 2014 - Nov 2015,1 yr 11 mos,"New Rochelle, NY",,,,,,Assistant Law Clerk (Intern),New York State Supreme Court,May 2012 - Aug 2012,4 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Legal Research,Trials,Courts,"
Principal at Vaya Development,Finance,Columbia University in the City of New York,"Master's degree, Urban Planning","Master's degree, Urban Planning",,,Principal,Vaya Development,May 2020 - Present,2 yrs,,,,,,,Director,Camber Property Group,May 2016 - Jun 2021,5 yrs 2 mos,,,,,,,Restructuring Consultant,Kurtzman Carson Consultants LLC,Oct 2007 - Aug 2012,4 yrs 11 mos,,,,,,,Asset Manager,Hackman Capital Partners,Aug 2013 - Jul 2014 · 1 yr,1 yr,"Los Angeles, CA",,,,,,Acquisitions Associate,Hackman Capital Partners,Aug 2012 - Jul 2013 · 1 yr,1 yr,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Due Diligence,Real Estate,Financial Analysis,"
Co-founder Chaikin Analytics,Finance,University of Denver,"Bachelor of Arts (B.A.), Sociology and Psychology","Bachelor of Arts (B.A.), Sociology and Psychology",,,Marketing and Public Relations - Co-founder,Chaikin Analytics LLC,Jan 2011 - Present,11 yrs 4 mos,"Philadelphia, Pa",,,,,,Owner,Sandra Betner Marketing and Public Relations,Sep 1995 - Dec 2010,15 yrs 4 mos,"Pomfret, Connecticut",,,,,,Director of Marketing,The Franklin Mint,Sep 1989 - Jun 1994,4 yrs 10 mos,"Media, PA",,,,,,Marketing Director,L'Oreal,Jan 1985 - Sep 1989,4 yrs 9 mos,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marketing,Advertising,Public Relations,"
MSCS graduate and software engineer,Software Engineer,Northeastern University,"Master of Science - MS, Computer Science","Master of Science - MS, Computer Science",,,"Mid-Level Software Engineer, Build & Automation",WB Games Boston · Full-time,Feb 2022 - Present,3 mos,,,,,,,Build and Automation Engineering Intern,WB Games Boston · Internship,Jan 2021 - Nov 2021,11 mos,,,,,,,"Assistant to the Global Director, Align Program",Khoury College of Computer Sciences · Part-time,Apr 2020 - Apr 2021,1 yr 1 mo,"Seattle, Washington, United States",,,,,,Jan 2013 - Nov 2013 · 11 mos,Nursefinders,"Richmond, Virginia, United States",Full-time · 1 yr 4 mos,Senior Staffing Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K-12 Education,Staffing Services,Community Outreach,"
Machine Learning Scientist and Software Engineer,Software Engineer,Stanford University,"Master of Engineering (M.Eng.), Computational and Mathematical Engineering","Master of Engineering (M.Eng.), Computational and Mathematical Engineering",,,Summer Research Intern,Apple,Jun 2014 - Aug 2014,3 mos,"Cupertino, CA",,,,,,Consultant,SpeechScribers,Oct 2012 - Sep 2013,1 yr,,,,,,,Scientist,BBN Technologies,2002 - 2011,9 yrs,,,,,,,Senior Applied Machine Learning Scientist,Amazon,Oct 2017 - Nov 2021 · 4 yrs 2 mos,4 yrs 2 mos,Greater Boston Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Machine Learning,Natural Language Processing,Statistics,"
Robotics Software Engineer at Boston Dynamics,Software Engineer,Cornell University,"MS, Mechanical Engineering","MS, Mechanical Engineering",,,Robotics Software Engineer,Boston Dynamics,Jul 2021 - Present,10 mos,,,,,,,Robotics Software Engineer,MIT Computer Science and Artificial Intelligence Laboratory (CSAIL),Jan 2020 - Jul 2021,1 yr 7 mos,"Cambridge, MA",,,,,,Education Technical Evangelist - Robotics Student Competitions,MathWorks,Mar 2017 - Dec 2019,2 yrs 10 mos,"Natick, MA",,,,,,Software Engineer,Aurora Flight Sciences Corporation,Aug 2016 - Feb 2017,7 mos,"Cambridge, MA",,,,,,Training Content Developer - Modeling & Simulation,MathWorks,Jan 2013 - Jul 2016 · 3 yrs 7 mos,3 yrs 7 mos,"Natick, MA",,,,,,Application Support Engineer,MathWorks,Sep 2011 - Jan 2013 · 1 yr 5 mos,1 yr 5 mos,"Natick, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Robotics,Python,ROS,"
Goldman Sachs | MS CS from University of Massachusetts Amherst | NLP ML AI | Offering referrals for Full-Time positions,Software Engineer,University of Massachusetts Amherst,"Master of Science - MS, Computer Science","Master of Science - MS, Computer Science",,,Software Engineer - Engineering Analyst,Goldman Sachs · Full-time,Feb 2021 - Present,1 yr 3 mos,New York City Metropolitan Area,,,,,,Graduate Teaching Assistant (Grader) - Software Engineering,University of Massachusetts Amherst · Part-time,Aug 2020 - Dec 2020,5 mos,"Amherst, Massachusetts, United States",,,,,,Engineering Summer Analyst,Goldman Sachs · Internship,Jul 2020 - Aug 2020,2 mos,"New York, United States",,,,,,Research Intern,Indian Institute of Management Ahmedabad · Internship,Dec 2017 - Jan 2018,2 mos,"Ahmedabad Area, India",,,,,,Student Intern,Indian Institute of Management Bangalore · Internship,Jun 2017 - Jul 2017,2 mos,Bangalore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Python (Programming Language),Java,Leadership,"
Development Director | Technology Leadership,Software Engineer,Free Code Camp,"Full Stack Web Development, Computer Software Engineering","Full Stack Web Development, Computer Software Engineering",,,Founder and Software Engineer,"Millentek, LLC · Self-employed",Jul 2013 - Present,8 yrs 10 mos,Greater Boston Area,,,,,,"Director, Application Development","Financial Tracking Technologies, LLC · Full-time",Nov 2014 - May 2015,7 mos,"Greenwich, Connecticut",,,,,,Senior Technology Consultant,Affinion Group · Contract,Sep 2013 - Mar 2014,7 mos,"Trumbull, CT",,,,,,Managing Technology Consultant,"Lifereel, LLC · Contract",Jun 2012 - Aug 2013,1 yr 3 mos,"Stamford, CT",,,,,,"Senior Director, Application Development",Affinion Group · Full-time,Jan 2011 - May 2012,1 yr 5 mos,"Trumbull, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Software Development,Start-ups,E-commerce,"
Senior Software Engineer at Boston Scientific,Software Engineer,Georgia Institute of Technology,"Master of Science - MS, Computer Science","Master of Science - MS, Computer Science",,,Co-Founder,Boston Sunday Cycle Club,Mar 2014 - Dec 2015,1 yr 10 mos,Greater Boston Area,,,,,,Senior Research Technician,Primate Circadian Research Laboratory,Jul 2012 - Aug 2014,2 yrs 2 mos,Puerto Rico,,,,,,Research Assistant,Brigham and Women's Hospital,Aug 2013 - Jul 2014,1 yr,Focused Ultrasound Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medical Device R&D,Medical Software,Engineering,"
Software Engineer at Meta,Software Engineer,Georgia Institute of Technology,"Master of Science - MS, Computer Science","Master of Science - MS, Computer Science",,,Teaching Assistant,Boston University · Part-time,Sep 2019 - May 2020,9 mos,"Boston, Massachusetts, United States",,,,,,Hack4Impact Technical Lead,Hack4Impact,Feb 2018 - May 2020,2 yrs 4 mos,Greater Boston Area,,,,,,CS Course Assistant,Boston University Department of Computer Science,Sep 2017 - May 2020,2 yrs 9 mos,"Boston, MA",,,,,,Boston Hacks Organizer,BostonHacks,Apr 2018 - May 2020 · 2 yrs 2 mos,2 yrs 2 mos,Greater Boston Area,,,,,,BostonHacks Head of Technology,BostonHacks,Jan 2019 - Jan 2020 · 1 yr 1 mo,1 yr 1 mo,Greater Boston Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Python,Software Development,Leadership,"
Sr. Staff Software Engineer at Boston Dynamics,Software Engineer,Bonn-Rhein-Sieg University of Applied Sciences,"Master of Science (M.Sc.), Autonomous Systems, Robotics","Master of Science (M.Sc.), Autonomous Systems, Robotics",,,Software Developer,TBA Netherlands,Sep 2016 - Mar 2018,1 yr 7 mos,,,,,,,Team Leader,b-it-bots,Sep 2012 - Sep 2016,4 yrs 1 mo,"Bonn Area, Germany",,,,,,Feb 2015 - Sep 2016 · 1 yr 8 mos,Bonn-Rhein-Sieg University of Applied Sciences,Germany,5 yrs 1 mo,Research Assistant,,,,,,Sep 2011 - Sep 2016 · 5 yrs 1 mo,Bonn-Rhein-Sieg University of Applied Sciences,"Bonn Area, Germany",5 yrs 1 mo,Masters Student,,,,,,Apr 2014 - Jan 2015 · 10 mos,Bonn-Rhein-Sieg University of Applied Sciences,Teaching Assistant for classes in the Masters of Autonomous Systems program.,5 yrs 1 mo,Teaching Assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"C++,Programming,Python,"
AI Senior Software Engineer at BCG,Software Engineer,Georgia Institute of Technology,"Master of Science - MS, Computer Science","Master of Science - MS, Computer Science",,,Masters Student,Georgia Institute of Technology,Aug 2017 - Jul 2019,2 yrs,,,,,,,Sr. Cognitive/AI/Machine Learning Software Developer Intern,IBM,May 2018 - Aug 2018,4 mos,"San Jose, CA",,,,,,Process Engineer,DuPont,Aug 2016 - Apr 2018,1 yr 9 mos,"Kansas City, Missouri Area",,,,,,AI Senior Software Engineer,BCG GAMMA,Sep 2021 - Present · 8 mos,2 yrs 8 mos,"Seattle, Washington, United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence,Machine Learning,Python,"
Software Engineer at Google,Software Engineer,Carnegie Mellon University,"Master of Software Engineering, Software Engineering","Master of Software Engineering, Software Engineering",,,Software Engineer,Google · Full-time,Feb 2021 - Present,1 yr 3 mos,,,,,,,Master of Software Engineering Student,Carnegie Mellon University,Aug 2019 - Dec 2020,1 yr 5 mos,Greater Pittsburgh Area,,,,,,Teaching Assistant Business & Marketing Strategy,CMU | Master of Software Engineering  · Part-time,Sep 2020 - Oct 2020,2 mos,,,,,,,Co-Founder,Visitry · Self-employed,Oct 2015 - Oct 2018,3 yrs 1 mo,"Boston, Massachusetts, United States",,,,,,May 2018 - Aug 2019 · 1 yr 4 mos,Liberty Mutual Insurance,Greater Boston Area,6 yrs 4 mos,Senior Software Engineer,,,,,,May 2015 - Apr 2018 · 3 yrs,Liberty Mutual Insurance,Greater Boston Area,6 yrs 4 mos,Software Developer,,,,,,May 2013 - May 2015 · 2 yrs 1 mo,Liberty Mutual Insurance,"Portsmouth, New Hampshire",6 yrs 4 mos,Technical Development Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NodeJS,"
Web and Software Engineer in NYC,Software Engineer,the Art Institue of California - San Diego,"Bachelor's Degree, Web Design and Interactive Media","Bachelor's Degree, Web Design and Interactive Media",,,Principal Software Engineer,Moat · Full-time,Oct 2020 - Present,1 yr 7 mos,,,,,,,Founder,Foo,Apr 2019 - Present,3 yrs 1 mo,Greater New York City Area,,,,,,Lead Senior Software Engineer,Paperless Post,Jul 2019 - Oct 2020,1 yr 4 mos,,,,,,,JavaScript (React) - Engineer Consultant,Shutterstock,Mar 2017 - Jan 2019,1 yr 11 mos,"New York, New York",,,,,,Senior Web Developer Consultant,J.Crew,Mar 2014 - Mar 2017,3 yrs 1 mo,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Web Development,JavaScript,Node.js,"
Software Engineer at Square,Software Engineer,Columbia University in the City of New York,"Master of Science - MS, Journalism & Computer Science","Master of Science - MS, Journalism & Computer Science",,,Software Engineer,Square · Full-time,Sep 2020 - Present,1 yr 8 mos,,,,,,,Summer Fellow - Local News Automation,The Associated Press,Jun 2019 - Aug 2019,3 mos,Greater New York City Area,,,,,,Software Developer,Freelance,Jun 2017 - Jul 2018,1 yr 2 mos,Belgium,,,,,,Software Developer,Procter & Gamble,May 2017 - Apr 2018,1 yr,"Brussels Area, Belgium",,,,,,Software Developer,DataCamp,Dec 2016 - Apr 2017,5 mos,"Brussel en omgeving, België",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QlikView Development,Financial Software Implementation,Microsoft Excel,"
Software Engineering Lead,Software Engineer,Georgia Institute of Technology,"Masters of Cyber Security, Computer Science","Masters of Cyber Security, Computer Science",,,Software Engineer,Cloudreach,Jan 2018 - Oct 2019,1 yr 10 mos,"New York, United States",,,,,,Software Engineer,Homes.com,May 2017 - Dec 2017,8 mos,"Norfolk, Virginia Area",,,,,,Recurser,Recurse Center,Nov 2016 - Feb 2017,4 mos,New York City,,,,,,Self-employed,hyperdrive,Oct 2019 - Present · 2 yrs 7 mos,2 yrs 7 mos,Founder,,,,,,Freelance,hyperdrive,Nov 2016 - Nov 2019 · 3 yrs 1 mo,3 yrs 1 mo,Partner Software Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Python,"
Mobile Software & Application Developer | Software Engineer | Website Developer,Software Engineer,"Technical Academy, Heraklion Crete Greece","Computer Applications Developer (Eq Bachelor), Computer Science / Computer Programming","Computer Applications Developer (Eq Bachelor), Computer Science / Computer Programming",,,Senior Software Development Engineer,New York Software Lab,Jun 2019 - Present,2 yrs 11 mos,Greater New York City Area,,,,,,IT Specialist & Software Engineer,Net Solutions NYC · Full-time,Oct 2016 - Apr 2019,2 yrs 7 mos,New York,,,,,,Cretatour logo,Web App Development / Software Developer,Cretatour,Full-time,Jan 2015 - Sep 2016 · 1 yr 9 mos,,,,,,Senior Web Developer,Finest Hotels of The World · Full-time,Feb 2012 - Jan 2015,3 yrs,Heraklion Crete,,,,,,Partner / Web Developer,Syslogic · Self-employed,Jan 2010 - Feb 2012,2 yrs 2 mos,Heraklion Crete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PHP,MySQL,"
Software Engineer at Addepar - We're Hiring!,Software Engineer,Columbia University in the City of New York,"B.A., English","B.A., English",,,Senior Software Engineer II,Addepar · Full-time,Feb 2020 - Present,2 yrs 3 mos,Greater New York City Area,,,,,,Advisor,CXUnified,Oct 2019 - Feb 2020,5 mos,,,,,,,Senior Software Engineer,Beeswax,Feb 2016 - Feb 2020,4 yrs 1 mo,Greater New York City Area,,,,,,"Architect, Bidder",RUN,Mar 2015 - Feb 2016,1 yr,"New York, NY",,,,,,Head of Client Solutions,Datacratic,Feb 2013 - Mar 2015,2 yrs 2 mos,Greater New York City Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agile Methodologies,Databases,SQL,"
Developer Programs Engineer @ Google NYC,Software Engineer,Westminster College,"Bachelor of Science (BS), Computer Science","Bachelor of Science (BS), Computer Science",,,Developer Programs Engineer,Google,Oct 2018 - Present,3 yrs 7 mos,,,,,,,Senior Software Engineer,"Mesosphere, Inc.",May 2014 - Oct 2017,3 yrs 6 mos,San Francisco Bay Area,,,,,,Co-Founder and Software Engineer,Smart Housing,Jun 2012 - Sep 2014,2 yrs 4 mos,"Salt Lake City, Utah",,,,,,Software Engineer,eXperticity,Jun 2013 - Apr 2014,11 mos,"Salt Lake City, Utah",,,,,,Software Engineer,HFW Group,May 2012 - May 2013,1 yr 1 mo,"Salt Lake City, Utah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Java,Scala,Apache Mesos,"
Building Tech to get Disadvantaged Teens to Achieve Their Dreams as CEO at Fingem.io and moneyhubnyc | React & MERN stack Software Engineer | Co-founder at Impact Hub NY Metro,Software Engineer,General Assembly,Software Engineering,Software Engineering,,,Chief Executive Officer and Founder,Fingem.io · Full-time,Apr 2021 - Present,1 yr 1 mo,"New York, New York, United States",,,,,,Chief Executive Officer,The Money Hub,Aug 2016 - Present,5 yrs 9 mos,,,,,,,Co-Founder,Impact Hub New York Metropolitan Area · Part-time,May 2020 - Present,2 yrs,"Queens, New York, United States",,,,,,Accounting Consultant,Soterix Medical,Mar 2014 - May 2017,3 yrs 3 mos,,,,,,,Software Engineer fellow,General Assembly,Aug 2021 - Present · 9 mos,9 mos,Remote Immersive,,,,,,Software Engineer fellow,General Assembly,Aug 2021 - Present · 9 mos,9 mos,Remote Immersive,,,,,,Fullstack Software Engineer fellow,General Assembly,Aug 2021 - Present · 9 mos,9 mos,Remote Immersive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MERN Stack,JavaScript,Ruby on Rails,"
Software Engineer at SpaceX,Software Engineer,New York University,"Bachelor of Arts (BA), Computer Science","Bachelor of Arts (BA), Computer Science",,,Senior Software Engineer,SpaceX · Full-time,Oct 2020 - Present,1 yr 7 mos,,,,,,,Member,Swift Server Work Group,Sep 2018 - Oct 2020,2 yrs 2 mos,,,,,,,Founder,Vapor,May 2016 - Oct 2020,4 yrs 6 mos,New York City,,,,,,iOS Engineer,Blue Bite,Sep 2014 - May 2016,1 yr 9 mos,New York City,,,,,,Developer,New Media One Web Services,Aug 2010 - Sep 2014,4 yrs 2 mos,"Erie, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Swift,iOS,PHP,"
Software Engineer | Developer | Python | Pandas | SQL | VBA | Relational Database Design | .NET | Access | Excel | Vue.js | Vuetify.js | Node.js | QA | Full SDLC | Defect Finder | Artist | Virtual Background Creator,Software Engineer,Rensselaer Polytechnic Institute,"Bachelor of Science, Computer Science","Bachelor of Science, Computer Science",,,Software Engineer,"TDI Technologies, Inc · Full-time",May 2021 - Present,1 yr,• Used Python and Pandas to manipulate csv data sets for import into relational database for tracking. Identified non-standard sensor names and created translation mapping to standardize incoming data and identify anomalies in the data that required correction. Designed relational database to store translation information.,,,,,,Software Developer | Software Engineer | Technical Specialist | Operations Support,Federal Reserve Bank of New York · Full-time,Feb 2004 - Jun 2019,15 yrs 5 mos,"East Rutherford, New Jersey, United States",,,,,,Business/Programmer Analyst,CTGi,Feb 2001 - Mar 2003,2 yrs 2 mos,•Enhanced and maintained Active Server Pages/VBScript/Javascript/HTML/CSS/SQL/MS Access Project Management Web Application for the NYC E-Government Office.,,,,,,HOBOKEN SKI CLUB INC logo,Webmaster,,HOBOKEN SKI CLUB INC,,,,,,,Senior Systems Analyst,Federal Reserve Bank of New York,Apr 1998 - Jan 2001,2 yrs 10 mos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Visual Basic for Applications (VBA),Microsoft Excel,Microsoft SQL Server,"
Software Engineer at Google,Software Engineer,Carnegie Mellon University,"Undergraduate, Electrical and Computer Engineering","Undergraduate, Electrical and Computer Engineering",,,Software Engineer,Google · Full-time,Jul 2020 - Present,1 yr 10 mos,"Mountain View, California, United States",,,,,,Machine Learning Engineer,DeltaTrainer · Contract,Feb 2020 - Jun 2020,5 mos,"Pittsburgh, Pennsylvania, United States",,,,,,Software Intern,Bank of America,Jun 2019 - Aug 2019,3 mos,New York City,,,,,,Research Assistant,Carnegie Mellon University,May 2018 - Dec 2018,8 mos,Pittsburgh,,,,,,Software Intern,The Johns Hopkins University Applied Physics Laboratory,May 2017 - Feb 2018,10 mos,"11100 Johns Hopkins Rd, Laurel, MD 20723",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Python,"
Product Manager at Nuro.ai (We're Hiring!),Product Manager,Cornell NYC Tech/Cornell Samuel Curtis Johnson Graduate School of Business,Master of Business Administration (M.B.A.),Master of Business Administration (M.B.A.),,,Product Manager for Engineering Productivity,Nuro · Full-time,Jul 2021 - Present,10 mos,,,,,,,Principal Product Manager,Silicon Valley Bank · Full-time,Dec 2019 - Jul 2021,1 yr 8 mos,"Santa Clara County, California, United States",,,,,,Senior Product Manager,Intuit,Nov 2018 - Dec 2019,1 yr 2 mos,"Mountain View, California",,,,,,Product Manager,SAMSUNG,Sep 2016 - Nov 2018,2 yrs 3 mos,"Mountain View, CA",,,,,,"Acting Director of Product, AOL LEAP",AOL,Nov 2015 - Jun 2016 · 8 mos,8 mos,"Dulles, VA",,,,,,Product Manager,AOL,May 2015 - Jun 2016 · 1 yr 2 mos,1 yr 2 mos,"Dulles, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Entrepreneurship,Data Analysis,Public Speaking,"
